FNV	A32	DJB	JNK	PJW
1013	1036	982	1029	1055
995	1006	997	998	966
1058	1018	917	1025	1022
1044	972	959	1016	1054
974	1026	1032	1082	945
1075	1035	992	996	1058
1031	986	1015	1007	1019
971	945	968	1013	994
1059	976	1040	998	1059
1035	1013	945	1046	1018
1017	981	961	993	971
953	1000	1018	956	915
985	979	1032	966	1039
1008	1004	954	996	986
915	1071	1031	936	985
997	998	1024	987	1050
1005	991	1051	1013	989
979	1009	1006	1008	1021
988	1039	1010	1015	1000
1036	965	1040	1005	1019
950	1058	969	981	994
980	1021	1039	1033	979
1032	1012	973	1014	996
992	951	1005	978	937
971	1014	930	1000	1012
979	1045	1022	1069	1029
998	1074	963	1052	1041
1030	991	970	971	1046
996	1084	959	990	992
970	1057	1028	1045	983
1045	985	1020	967	1035
987	1006	996	958	1019
954	1007	1011	1024	967
1002	1024	982	988	1031
1045	1068	1035	995	1007
971	969	995	949	1021
1047	982	988	976	973
1013	1060	1003	963	990
991	974	994	1042	994
977	976	951	1007	979
1011	994	983	1033	989
987	974	975	950	1075
1029	1047	985	987	1042
938	988	979	1029	948
1007	955	1023	926	974
1061	925	999	1020	992
1033	976	990	985	1004
971	1030	989	986	965
1041	995	999	929	1001
1022	915	1017	1044	1017
1026	977	1020	1026	965
975	1043	1021	989	1022
1038	990	1019	1004	967
1010	1031	991	1006	1028
995	983	1020	1016	972
933	1032	921	1024	997
978	1047	1050	981	981
1066	974	953	995	993
969	1007	987	1024	974
982	977	1013	1005	1002
987	1007	1010	1026	988
995	1005	1041	930	995
990	914	1061	1048	1011
1013	1019	966	1018	1024
1014	1000	998	985	987
1025	1036	980	1010	1033
1012	1028	986	990	1062
1005	970	938	969	999
1022	1012	1065	1006	1053
1029	1001	1051	997	1043
1012	1013	1066	998	1024
994	1023	982	1015	1000
1005	1046	956	1034	990
960	970	999	995	991
943	1032	1043	978	1013
1010	1025	996	1026	946
1030	999	962	991	1040
973	980	983	919	951
1006	1022	999	1005	1032
955	954	994	1001	1008
1000	985	1039	981	995
995	992	1016	1024	996
1045	974	1021	1036	985
1007	1027	998	984	1013
981	961	996	998	947
969	978	957	1005	983
1023	990	1008	1017	1054
985	993	1014	973	1000
986	1015	989	977	1005
938	989	1050	962	936
1011	976	975	983	1006
946	968	995	977	1005
971	983	1017	1044	1027
962	997	974	1018	941
986	1002	1071	1068	949
1030	948	1056	959	1040
1048	973	1015	1015	968
1059	952	1039	1037	999
985	994	992	979	954
953	979	961	976	909
